wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1232.8500,0,3.2505,4.2679e-09,1.9995,5.25
1232.9000,0,3.2505,4.2667e-09,2.0454,5.2959
1232.9500,0,3.2505,4.2654e-09,2.0565,5.307
1233.0000,0,3.2505,4.2642e-09,2.0575,5.308
1233.0500,0,3.2505,4.2629e-09,2.0585,5.309
1233.1000,0,3.2505,4.2617e-09,2.0596,5.3101
1233.1500,0,3.2505,4.2604e-09,2.0606,5.3111
1233.2000,0,3.2505,4.2592e-09,2.0616,5.3121
1233.2500,0,3.2505,4.2579e-09,2.0779,5.3284
1233.3000,0,3.2505,4.2566e-09,2.1619,5.4124
1233.3500,0,3.2505,4.2554e-09,2.1631,5.4136
1233.4000,0,3.2505,4.2541e-09,2.1642,5.4147
1233.4500,0,3.2505,4.2528e-09,2.1652,5.4157
1233.5000,0,3.2505,4.2515e-09,2.1856,5.4361
1233.5500,0,3.2505,4.2502e-09,2.1877,5.4382
1233.6000,0,3.2505,4.2489e-09,2.1888,5.4393
1233.6500,0,3.2505,4.2476e-09,2.1899,5.4404
